season,player_900_plus_mins,team,possession,total_stdev,overall_rank,minutes_played,xg,penalties_taken,non_pkxg,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,shooting_impact,goal_conversion_pct,goal_threat_stdev,goal_threat_rank,offensive_duels_per_90,offensive_duels_won_pct,offensive_duel_impact,touches_in_box_per_90,key_passes_per_90,passes_to_penalty_area_per_90,accurate_passes_to_penalty_area_pct,penalty_box_passes_impact,xa_per_90,link_play_stdev,link_play_rank
2023.0,C. Repetto,Miami,48.81,-7.252712392,0.113,1053.0,4.04,2.0,2.56,0.351,0.103,0.167,0.961,0.73,0.635,-0.8060359627,0.394,0.177,0.011,0.014,0.177,0.043,0.014,0.968,0.145,0.0,-3.502470311,0.131
2022.0,Santi Moar,Phoenix Rising,48.75,10.76093226,0.95,2438.0,5.21,0.0,5.21,0.27,0.06,0.862,0.099,0.291,0.035,-4.325173787,0.099,0.635,0.94,0.922,0.741,0.993,0.979,0.752,1.0,0.89,9.487560446,0.989
2022.0,JJ Williams,Phoenix Rising,48.75,3.507010649,0.691,2318.0,10.11,1.0,9.37,0.752,0.876,0.929,0.504,0.823,0.564,2.961341973,0.83,0.326,0.539,0.468,0.663,0.695,0.255,0.546,0.326,0.745,-0.1349143729,0.553
2022.0,G. Hurst,Phoenix Rising,48.75,-2.134745188,0.376,2109.0,6.23,0.0,6.23,0.468,0.479,0.365,0.34,0.34,0.436,-0.7643025985,0.401,0.064,0.862,0.486,0.5,0.922,0.376,0.869,0.635,0.78,2.403743905,0.773
2025.0,S. Blanco,Miami,48.65,3.356073521,0.681,1490.0,1.16,0.0,1.16,0.028,0.05,0.337,0.22,0.22,0.039,-5.586827806,0.057,0.195,0.954,0.865,0.032,0.986,0.996,0.45,0.993,0.926,8.595769138,0.982
2025.0,F. Bonfiglio,Miami,48.65,-2.25735537,0.365,2772.0,12.77,2.0,11.29,0.77,0.812,0.798,0.617,0.809,0.688,2.906596608,0.823,0.387,0.486,0.447,0.472,0.33,0.004,0.72,0.064,0.17,-3.370779907,0.156
2023.0,R. Cicerone,Sacramento Republic,48.42,13.95179632,0.982,3185.0,12.59,0.0,12.59,0.738,0.887,0.642,0.95,0.947,0.837,4.495538021,0.897,0.617,0.706,0.716,0.514,0.89,0.848,0.493,0.801,0.652,3.04092612,0.816
2023.0,Z. Lewis,Sacramento Republic,48.42,4.872473188,0.773,1111.0,2.46,0.0,2.46,0.284,0.447,0.596,0.124,0.227,0.309,-2.160323956,0.255,0.394,0.567,0.543,0.284,0.926,0.876,0.869,0.972,0.947,6.096454321,0.95
2023.0,L. Archimède,Sacramento Republic,48.42,0.852803142,0.574,867.0,3.32,0.0,3.32,0.702,0.968,0.872,0.809,0.929,0.879,5.355933701,0.936,0.369,0.234,0.23,0.915,0.28,0.241,0.004,0.021,0.043,-3.387977028,0.149
2023.0,S. Herrera,Sacramento Republic,48.42,-4.184179177,0.316,1437.0,6.56,4.0,3.6,0.372,0.149,0.489,0.78,0.72,0.56,-0.7463341224,0.411,0.631,0.543,0.61,0.461,0.667,0.191,0.915,0.475,0.652,-0.7023379611,0.472
