year,team,points,standarised_points_score,position,positon_reversed,adjusted_position_z_score,composite_team_score,total_score,attacking_score_6,defensive_score_8,ball_progression_6,xg_diff,possesion_threat,goals,conceded_goals,xg,shots_on_target,possession_pct,passes_accurate,points_order_within_year,composite_order_within_year,underlying_minus_results_order_within_year
2024.0,Loudoun United,44.0,-0.1215543091,11.0,-11,-1.193660121,-0.6576072152,4.462382099,1.650544055,2.829900742,1.634298447,0.18,0.3076155637,1.29,1.15,1.48,10.88,52.07,481.12,16,20,4
2023.0,Birmingham Legion,46.0,0.03372151801,7.0,-7,-0.08144974946,-0.02386411572,1.662670624,-0.1459697154,1.933347708,0.7557473076,-0.05,0.3440599069,1.33,1.53,1.36,11.42,49.16,395.28,14,14,0
2025.0,Lexington,36.0,-0.7426576175,9.0,-9,-0.6375549354,-0.6901062764,1.666763616,-0.3738717779,3.349681198,-0.5576529607,-0.05,0.2975609756,1.03,1.4,1.22,10.2,52.41,410.0,17,17,0
2023.0,San Diego Loyal,57.0,0.8877385671,3.0,-3,1.030760622,0.9592495947,5.329384733,2.461329235,4.149107591,0.2352594363,0.34,0.3517511088,1.83,1.31,1.61,11.94,56.61,457.71,5,6,1
2024.0,New Mexico United,59.0,1.043014394,1.0,-1,1.586865808,1.314940101,5.296953209,2.789446395,2.961802024,2.009103047,0.04,0.3279645978,1.33,1.28,1.46,11.53,53.94,445.17,3,3,0
2024.0,Birmingham Legion,45.0,-0.04391639554,9.0,-9,-0.6375549354,-0.3407356655,0.2736332397,0.2889564471,-0.5929833565,1.403845242,-0.23,0.2997281535,1.3,1.55,1.29,12.64,49.34,430.39,15,17,2
2022.0,San Diego Loyal,60.0,1.120652308,2.0,-2,1.308813215,1.214732762,7.510284718,4.689548326,3.985471501,0.8777512165,0.56,0.4172971981,1.94,1.66,1.82,12.69,55.63,436.14,5,5,0
2022.0,Monterey Bay FC,40.0,-0.4321059633,12.0,-12,-1.471712714,-0.9519093388,-2.261806263,-1.042279357,0.2856147116,-1.819859736,-0.35,0.3406743743,1.24,1.74,1.27,9.79,43.94,372.79,20,22,2
2023.0,Memphis 901,52.0,0.4995489993,4.0,-4,0.7527080295,0.6261285144,6.772057551,2.190645925,5.189682457,2.199934999,0.15,0.3111176956,1.71,1.54,1.47,12.26,55.32,472.49,9,8,-1
2025.0,Charleston Battery,62.0,1.275928135,2.0,-2,1.308813215,1.292370675,8.245072262,2.3412516,5.792414593,2.955835019,0.41,0.3236442341,1.9,1.07,1.6,12.93,59.61,494.37,2,2,0
2025.0,Tampa Bay Rowdies,34.0,-0.8979334446,10.0,-10,-0.9156075284,-0.9067704865,-0.2717593122,-2.071476079,2.875420152,-0.9330939178,-0.18,0.2828573555,1.43,1.67,1.14,10.23,49.62,403.03,19,19,0
2022.0,Colorado Springs,55.0,0.73246274,3.0,-3,1.030760622,0.8816116812,5.195983352,1.651322244,4.285454843,1.332730723,0.13,0.3454315462,1.73,1.51,1.42,11.95,52.16,411.08,9,6,-3
2022.0,Orange County SC,34.0,-0.8979334446,13.0,-13,-1.749765307,-1.323849376,0.2167205364,-1.735111539,3.485098037,-1.475527574,-0.08,0.2979737783,1.45,1.76,1.15,10.79,47.95,385.94,23,24,1
2024.0,Hartford Athletic,44.0,-0.1215543091,10.0,-10,-0.9156075284,-0.5185809187,-1.95901065,-0.1606659533,-0.9511729576,-0.8800602906,-0.36,0.3457796816,1.15,1.53,1.34,10.06,48.96,387.53,17,18,1
2023.0,Monterey Bay FC,41.0,-0.3544680497,11.0,-11,-1.193660121,-0.7740640855,-3.108178755,-2.431683239,0.178357661,-1.573480534,-0.35,0.2757010506,1.21,1.58,1.11,8.67,46.54,402.61,20,21,1
2024.0,Phoenix Rising,42.0,-0.2768301362,8.0,-8,-0.3595023424,-0.3181662393,2.48153144,-0.2935613968,3.250523564,0.6963383574,-0.03,0.2585863944,0.97,1.17,1.17,10.71,56.51,452.46,19,16,-3
2023.0,New Mexico United,46.0,0.03372151801,8.0,-8,-0.3595023424,-0.1628904122,1.216430933,-0.6548879476,2.706642307,-0.3506212785,-0.02,0.3090475495,1.46,1.43,1.27,10.57,50.42,410.94,15,15,0
2025.0,Miami,30.0,-1.208485099,11.0,-11,-1.193660121,-1.20107261,-1.313937866,-1.544418138,2.205177711,-2.137822299,-0.27,0.3249390739,0.97,1.47,1.2,10.57,48.65,369.3,21,21,0
2024.0,FC Tulsa,38.0,-0.5873817904,10.0,-10,-0.9156075284,-0.7514946594,-3.493529311,-2.1787464,0.009382734339,-1.169407194,-0.73,0.3251401981,0.97,1.41,1.09,9.97,45.55,335.24,21,21,0
2024.0,Las Vegas Lights,50.0,0.3442731722,4.0,-4,0.7527080295,0.5484906008,3.55593689,1.000608353,3.18056016,1.566163419,-0.19,0.2555331992,1.35,1.27,1.27,12.24,59.94,497.0,10,8,-2
2023.0,Phoenix Rising,48.0,0.1889973451,6.0,-6,0.1966028435,0.1928000943,1.253985096,0.2046431068,2.063874484,-0.8636771949,0.11,0.2932488548,1.66,1.21,1.37,10.76,55.5,467.18,12,12,0
2025.0,Hartford Athletic,44.0,-0.1215543091,5.0,-5,0.4746554365,0.1765505637,1.497332309,-0.3228185735,2.734864551,-1.065031721,0.25,0.4521430972,1.47,1.2,1.48,9.77,45.2,327.33,8,9,1
2022.0,Loudoun United,28.0,-1.363760926,11.0,-11,-1.193660121,-1.278710524,-4.529911101,-1.364600096,-2.440386898,-1.052712912,-0.7,0.2836165687,1.06,2.18,1.24,10.18,50.78,437.21,24,23,-1
2025.0,Colorado Springs,37.0,-0.6650197039,8.0,-8,-0.3595023424,-0.5122610232,1.651556316,-0.7880108009,4.015312163,-1.137150875,0.04,0.3299890891,1.17,1.43,1.24,11.43,51.61,375.77,16,16,0
2023.0,Loudoun United,25.0,-1.596674667,11.0,-11,-1.193660121,-1.395167394,-2.356479438,-1.386513685,0.4463312081,-0.7476346006,-0.71,0.2672648308,1.06,1.79,1.12,10.21,50.57,419.06,22,22,0
2024.0,Memphis 901,51.0,0.4219110858,3.0,-3,1.030760622,0.7263358541,5.313625219,1.67830802,3.833981718,2.102518824,0.09,0.3409147464,1.49,1.2,1.37,13.06,50.52,401.86,8,6,-2
2023.0,Hartford Athletic,18.0,-2.140140061,12.0,-12,-1.471712714,-1.805926388,-3.162784845,-1.213071654,-1.066045081,-0.883440862,-0.59,0.2955200159,1.18,2.32,1.19,9.56,49.4,402.68,24,24,0
2023.0,Tampa Bay Rowdies,63.0,1.353566048,2.0,-2,1.308813215,1.331189632,1.973398909,0.09383000319,2.230794331,0.09058852581,0.15,0.3396199147,1.71,1.2,1.41,10.63,49.56,415.17,3,3,0
2024.0,Oakland Roots,44.0,-0.1215543091,7.0,-7,-0.08144974946,-0.1015020293,-1.120891014,-2.430263323,2.007773167,-0.79638705,-0.23,0.3079065035,1.06,1.69,1.15,9.91,46.52,373.49,18,15,-3
2023.0,Orange County SC,57.0,0.8877385671,2.0,-2,1.308813215,1.098275891,3.77744119,0.4384891881,4.090066488,-0.2194248024,0.41,0.3558994197,1.33,1.14,1.38,11.36,45.73,387.75,6,4,-2
2022.0,El Paso Locomotive,46.0,0.03372151801,8.0,-8,-0.3595023424,-0.1628904122,6.378528844,3.440732741,3.549940728,2.239015014,0.09,0.3249104944,1.65,1.53,1.57,12.44,59.23,483.21,15,15,0
2025.0,New Mexico United,48.0,0.1889973451,3.0,-3,1.030760622,0.6098789838,1.284014821,-1.184719067,3.125526555,0.4000946057,-0.21,0.2629272568,1.53,1.28,1.26,9.69,58.96,479.22,5,5,0
2025.0,Birmingham Legion,27.0,-1.441398839,12.0,-12,-1.471712714,-1.456555777,-3.128693709,-3.033631472,1.195810785,-2.350871866,-0.26,0.3004636465,1.2,1.67,1.16,9.4,49.44,386.07,23,23,0
2023.0,Sacramento Republic,64.0,1.431203962,1.0,-1,1.586865808,1.509034885,3.468909904,0.5206926334,4.264568071,-0.7267343777,0.32,0.3333086438,1.51,0.78,1.35,11.03,48.42,405.03,2,2,0
2022.0,Hartford Athletic,36.0,-0.7426576175,10.0,-10,-0.9156075284,-0.8291325729,-2.088653533,0.3232383118,-2.204252437,-0.07090805169,-0.41,0.3068911002,1.38,1.68,1.32,10.15,48.3,430.12,22,21,-1
2022.0,FC Tulsa,42.0,-0.2768301362,8.0,-8,-0.3595023424,-0.3181662393,-0.7435419591,0.4201612783,-0.3625372166,-0.07717511461,-0.41,0.3196590304,1.41,1.71,1.32,11.85,49.49,412.94,18,16,-2
2024.0,Detroit City,56.0,0.8101006535,3.0,-3,1.030760622,0.920430638,0.9592649553,-1.53451797,4.093659432,-1.558559697,0.05,0.3125859611,1.34,0.94,1.25,10.23,51.44,399.89,4,4,0
2024.0,Orange County SC,46.0,0.03372151801,6.0,-6,0.1966028435,0.1151621808,-4.908171509,-2.902734283,-1.269359454,-2.267685723,-0.37,0.271532254,1.11,1.28,1.07,9.19,46.09,394.06,14,12,-2
2025.0,San Antonio,40.0,-0.4321059633,6.0,-6,0.1966028435,-0.1177515599,0.9916984804,-1.60168321,4.734788881,-1.941343333,-0.02,0.3166446054,1.26,1.29,1.22,10.61,53.33,385.29,11,12,1
2025.0,Orange County SC,39.0,-0.5097438768,7.0,-7,-0.08144974946,-0.2955968132,-0.5714053433,-1.024849012,1.323535896,-1.203398325,-0.04,0.3246423861,1.41,1.47,1.28,10.75,49.45,394.28,13,13,0
2022.0,Atlanta United II,23.0,-1.751950494,13.0,-13,-1.749765307,-1.7508579,-10.34646082,-2.503309328,-5.855692798,-3.608660805,-1.28,0.2721989259,1.15,2.5,1.11,9.71,49.82,407.79,26,26,0
2025.0,Monterey Bay FC,29.0,-1.286123012,11.0,-11,-1.193660121,-1.239891567,-0.5978051808,-1.573768692,2.099066898,-1.261605286,-0.13,0.3330580787,0.9,1.5,1.21,9.5,47.09,363.3,22,22,0
2025.0,North Carolina FC,45.0,-0.04391639554,3.0,-3,1.030760622,0.4934221134,-4.016046708,-3.290401586,1.147873979,-3.198768478,-0.34,0.3138713709,1.28,1.28,1.08,9.69,44.88,344.09,6,6,0
2025.0,Phoenix Rising,40.0,-0.4321059633,5.0,-5,0.4746554365,0.0212747366,-0.8246124749,-1.752380983,2.290437561,-1.699871,-0.11,0.3002326803,1.53,1.53,1.2,9.22,51.35,399.69,12,10,-2
2022.0,LA Galaxy II,40.0,-0.4321059633,11.0,-11,-1.193660121,-0.8128830423,-0.2838097504,1.491798085,-1.219834578,-0.3998462537,-0.11,0.3569985181,1.56,1.85,1.59,11.59,52.24,445.38,21,20,-1
2024.0,El Paso Locomotive,32.0,-1.053209272,12.0,-12,-1.471712714,-1.262460993,-1.258783736,-1.414018384,1.016382364,-0.9937579364,-0.23,0.290292889,0.79,1.35,1.23,10.82,52.22,423.71,23,23,0
2025.0,Oakland Roots,32.0,-1.053209272,10.0,-10,-0.9156075284,-0.9844084,-1.74804185,-2.890220263,2.742775104,-2.082878571,-0.24,0.2715969402,1.4,1.73,1.09,8.9,48.97,401.33,20,20,0
2022.0,Las Vegas Lights,45.0,-0.04391639554,9.0,-9,-0.6375549354,-0.3407356655,-7.767254937,-3.933016272,-2.50322603,-3.676447406,-0.6,0.2558122037,1.18,1.48,1.02,9.0,47.35,398.73,16,17,1
2023.0,FC Tulsa,39.0,-0.5097438768,10.0,-10,-0.9156075284,-0.7126757026,-2.823031247,-1.512434754,-0.3833000641,-1.185995299,-0.45,0.2923777793,1.26,1.62,1.29,10.0,51.06,441.21,21,20,-1
2023.0,El Paso Locomotive,47.0,0.1113594316,7.0,-7,-0.08144974946,0.01495484105,-4.231298518,-2.693644348,-0.02974256131,-3.129790749,-0.25,0.2652080225,1.17,1.49,1.12,11.2,50.52,422.31,13,13,0
2025.0,Las Vegas Lights,27.0,-1.441398839,12.0,-12,-1.471712714,-1.456555777,-8.615839892,-5.985084794,-0.6712412934,-4.266763079,-0.81,0.2245160584,0.77,1.67,0.82,8.77,47.75,365.23,24,24,0
2024.0,Miami,11.0,-2.683605456,12.0,-12,-1.471712714,-2.077659085,-15.31035222,-6.88038059,-6.753244933,-5.442337528,-1.42,0.2533337045,0.79,2.67,0.91,8.64,44.7,359.21,24,24,0
