season,player,team,position,minutes_played,overall_percentile,total_stdev,goal_threat_percentile,link_play_percentile,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,offensive_duels_won_pct,touches_in_box_per_90,key_passes_per_90,xa_per_90
2025.0,M. Foster,Indy Eleven,ST,1663.0,0.741,4.38663255,0.131,0.702,0.089,0.213,0.287,0.089,0.961,0.684,0.411,0.348
2025.0,S. Blanco,Miami,ST,1490.0,0.681,3.356073521,0.057,0.982,0.028,0.05,0.337,0.22,0.954,0.032,0.986,0.926
2025.0,P. Goodrum,Louisville City,ST,1938.0,0.674,3.208391304,0.94,0.45,0.926,0.957,0.94,0.674,0.489,0.95,0.216,0.567
2025.0,R. Serrano,Louisville City,ST,2221.0,0.67,2.981266837,0.33,0.957,0.184,0.447,0.206,0.56,0.947,0.284,0.844,0.968
2025.0,D. Wanner,Sacramento Republic,ST,1088.0,0.667,2.972260825,0.418,0.762,0.33,0.461,0.241,0.738,0.518,0.436,0.72,0.652
2025.0,Braudílio Rodrigues,Lexington,ST,1068.0,0.663,2.897369522,0.067,0.798,0.355,0.082,0.348,0.021,0.982,0.528,0.571,0.567
2025.0,T. Calheira,FC Tulsa,ST,3008.0,0.649,2.133830374,0.805,0.596,0.894,0.652,0.801,0.418,0.326,0.702,0.745,0.805
2025.0,A. Diouf,Detroit City,ST,1585.0,0.606,1.557513096,0.461,0.135,0.298,0.681,0.823,0.372,0.915,0.245,0.078,0.17
2025.0,Rodrigo Da Costa,North Carolina FC,ST,930.0,0.599,1.446622674,0.195,0.869,0.124,0.301,0.326,0.174,0.901,0.085,0.883,0.968
2025.0,I. Sacko,Phoenix Rising,ST,2255.0,0.596,1.446571661,0.365,0.83,0.252,0.532,0.188,0.337,0.787,0.379,0.894,0.805
2025.0,JJ Williams,Rhode Island,ST,1791.0,0.582,0.9465215676,0.5,0.652,0.621,0.571,0.901,0.17,0.369,0.918,0.592,0.652
2025.0,N. Fuson,Rhode Island,ST,2720.0,0.56,0.7159420326,0.117,0.759,0.131,0.149,0.365,0.103,0.56,0.316,0.613,0.652
2025.0,O. Anderson,North Carolina FC,ST,1389.0,0.546,0.6004907468,0.784,0.422,0.968,0.77,0.876,0.259,0.44,0.858,0.695,0.411
2025.0,B. Avila,El Paso Locomotive,ST,2167.0,0.521,0.2800639878,0.209,0.426,0.369,0.227,0.401,0.163,0.582,0.691,0.571,0.493
2025.0,R. Avila,El Paso Locomotive,ST,2048.0,0.504,0.05863452656,0.238,0.436,0.404,0.259,0.401,0.174,0.511,0.73,0.592,0.493
2025.0,E. Samadia,Hartford Athletic,ST,2269.0,0.475,-0.4289098248,0.0,0.89,0.0,0.0,0.0,0.0,0.918,0.004,0.706,0.986
2025.0,F. Valot,Loudoun United,ST,3080.0,0.45,-0.8006508233,0.05,0.968,0.05,0.05,0.06,0.124,0.461,0.401,0.72,0.89
2025.0,P. Wilson,Oakland Roots,ST,2454.0,0.426,-1.142763496,0.975,0.181,0.812,0.954,0.411,0.858,0.312,0.677,0.191,0.248
2025.0,L. Ivanovic,Monterey Bay FC,ST,1599.0,0.422,-1.230334093,0.486,0.521,0.574,0.415,0.695,0.691,0.592,0.457,0.433,0.652
